"15808861096",云南,昆明,中国移动
"19588569653",河南,商丘,中国移动
"13295966047",福建,漳州,中国联通
"13731298534",河北,保定,中国移动
"19826589682",安徽,阜阳,中国移动
"13262157590",河南,新乡,中国联通
"13272926261",重庆,重庆,中国联通
"13891533584",陕西,安康,中国移动
"13884660789",山东,烟台,中国移动
"13468999184",陕西,渭南,中国移动
"13789117421",湖南,郴州,中国移动
"18953345123",山东,淄博,中国电信
"13456789541",浙江,杭州,中国移动
"13812535713",江苏,无锡,中国移动
"13589127531",山东,济南,中国移动
"13811079827",北京,北京,中国移动
"18785123947",贵州,贵阳,中国移动
"15806687037",山东,济南,中国移动
"18288297926",云南,昆明,中国移动
"13617975246",江西,赣州,中国移动
"15580213570",湖南,衡阳,中国联通
"15258625136",浙江,温州,中国移动
"15075088886",河北,邯郸,中国移动
"15706636003",广东,揭阳,中国移动
"18302819896",四川,成都,中国移动
"19923342822",重庆,重庆,中国电信
"13914326139",江苏,常州,中国移动
"15618692537",上海,上海,中国联通
"15054555155",山东,烟台,中国移动
"13172696808",河北,邢台,中国联通
"18620037057",广东,广州,中国联通
"13207979329",江西,赣州,中国联通
"19950582019",四川,南充,中国电信
"15293226505",甘肃,定西,中国移动
"18078277917",广西,来宾,中国电信
"18017601217",上海,上海,中国电信
"13193799939",河南,开封,中国联通
"15190017598",江苏,苏州,中国移动
"13262667890",上海,上海,中国联通
"15235818868",山西,吕梁,中国移动
"13713397895",广东,东莞,中国移动
"15119499630",广东,阳江,中国移动
"18520128378",广东,广州,中国联通
"18523337086",重庆,重庆,中国联通
"15201901379",上海,上海,中国移动
"18677221941",广西,柳州,中国联通
"18688401349",广东,广州,中国联通
"15890903199",河南,开封,中国移动
"19180196008",四川,达州,中国电信
"13903808079",河南,新乡,中国移动
"18113509927",四川,广安,中国电信
"15085381177",贵州,毕节,中国移动
"15330080101",北京,北京,中国电信
"13360139754",广东,中山,中国电信
"15563809079",山东,烟台,中国联通
"15511701077",河北,沧州,中国联通
"19948734202",云南,红河,中国电信
"13400571281",福建,福州,中国移动
"18814849118",浙江,杭州,中国移动
"13680926583",广东,汕尾,中国移动
"13332403976",辽宁,沈阳,中国电信
"18926088956",广东,深圳,中国电信
"15094932256",山东,潍坊,中国移动
"13316035376",广东,广州,中国电信
"13203729096",河南,郑州,中国联通
"15969448258",云南,昆明,中国移动
"18789692025",海南,海口,中国移动
"13119268966",陕西,延安,中国联通
"13833063903",河北,保定,中国移动
"15117611688",贵州,毕节,中国移动
"15166362866",山东,潍坊,中国移动
"15867925222",浙江,金华,中国移动
"13061202536",山东,青岛,中国联通
"18073182413",湖南,长沙,中国电信
"13801376635",北京,北京,中国移动
"17841692506",广东,汕头,中国移动
"16603541755",山西,晋中,中国联通
"18260797272",江苏,徐州,中国移动
"13612867691",广东,深圳,中国移动
"18633884320",河北,石家庄,中国联通
"13165940080",浙江,宁波,中国联通
"13260848838",江苏,南京,中国联通
"13380238474",广东,佛山,中国电信
"13136060098",海南,海口,中国联通
"18721231893",上海,上海,中国移动
"13658063053",四川,成都,中国移动
"13825911881",广东,梅州,中国移动
"17761908995",江苏,苏州,中国电信
"18679705971",江西,赣州,中国联通
"15916102696",广东,佛山,中国移动
"13291861157",浙江,杭州,中国联通
"15367777928",湖南,常德,中国电信
"15637752219",河南,南阳,中国联通
"15167239005",浙江,湖州,中国移动
"18184144450",贵州,黔南,中国电信
"13303893848",河南,焦作,中国电信
"13073769722",河南,郑州,中国联通
"18434176666",山西,晋城,中国移动
"18458228803",浙江,杭州,中国移动
"13620587762",广东,清远,中国移动
"17312317668",江苏,苏州,中国电信
"17376585527",浙江,杭州,中国电信
"13264044321",北京,北京,中国联通
"18250868672",福建,厦门,中国移动
"18226316660",安徽,阜阳,中国移动
"15861247826",江苏,连云港,中国移动
"15868659372",浙江,台州,中国移动
"15108298868",四川,成都,中国移动
"13461077576",河南,洛阳,中国移动
"13780873632",山东,潍坊,中国移动
"17370590639",江西,宜春,中国电信
"15160592173",福建,宁德,中国移动
"13071748355",河南,平顶山,中国联通
"13326710252",广东,佛山,中国电信
"13542022456",广东,湛江,中国移动
"15383015083",河北,石家庄,中国电信
"18685889194",贵州,六盘水,中国联通
"13502958822",广东,汕头,中国移动
"19155897759",安徽,阜阳,中国电信
"13504682233",黑龙江,鸡西,中国移动
"13763618557",黑龙江,牡丹江,中国移动
"13086857537",吉林,长春,中国联通
"13930722205",河北,沧州,中国移动
"13919190958",甘肃,兰州,中国移动
